SourceID,Model,OA,OAS,Index
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,4
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,4
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,7
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,7
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,9
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,9
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,10
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,10
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,23
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,23
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,24
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,24
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,25
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,25
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,26
6a4536972baed18e74d416fd,Claude Opus 4.6,1,hybrid,26
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,28
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,28
6a4536972baed18e74d416fd,ChatGPT 5.2,0,closed,40
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,40
6a45369f2baed18e74d41721,ChatGPT 5.2,0,closed,63
6a45369f2baed18e74d41721,Claude Opus 4.6,0,closed,63
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,10
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,gold,10
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,bronze,18
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,bronze,18
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,hybrid,20
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,20
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,21
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,21
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,22
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,22
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,33
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,gold,33
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,34
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,gold,34
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,36
6a4536bb2baed18e74d4173d,Claude Opus 4.6,0,closed,36
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,37
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,37
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,bronze,38
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,38
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,gold,47
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,gold,47
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,hybrid,52
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,bronze,52
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,53
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,53
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,55
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,bronze,55
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,63
6a4536bb2baed18e74d4173d,Claude Opus 4.6,0,closed,63
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,bronze,68
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,68
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,69
6a4536bb2baed18e74d4173d,Claude Opus 4.6,0,closed,69
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,70
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,70
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,75
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,bronze,75
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,81
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,81
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,85
6a4536bb2baed18e74d4173d,Claude Opus 4.6,0,closed,85
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,88
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,bronze,88
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,90
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,90
6a4536c92baed18e74d417a1,ChatGPT 5.2,0,closed,4
6a4536c92baed18e74d417a1,Claude Opus 4.6,0,closed,4
6a4536c92baed18e74d417a1,ChatGPT 5.2,0,closed,9
6a4536c92baed18e74d417a1,Claude Opus 4.6,0,closed,9
6a4536c92baed18e74d417a1,ChatGPT 5.2,1,bronze,11
