SourceID,Model,OA,OAS,Index
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,7
6a4536972baed18e74d416fd,Ground Truth,1,bronze,7
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,33
6a4536972baed18e74d416fd,Ground Truth,1,hybrid,33
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,9
6a4536972baed18e74d416fd,Ground Truth,1,green,9
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,4
6a4536972baed18e74d416fd,Ground Truth,1,green,4
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,28
6a4536972baed18e74d416fd,Ground Truth,1,green,28
6a4536972baed18e74d416fd,ChatGPT 5.2,0,closed,21
6a4536972baed18e74d416fd,Ground Truth,0,closed,21
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,25
6a4536972baed18e74d416fd,Ground Truth,1,hybrid,25
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,24
6a4536972baed18e74d416fd,Ground Truth,1,green,24
6a4536972baed18e74d416fd,ChatGPT 5.2,0,closed,2
6a4536972baed18e74d416fd,Ground Truth,0,closed,2
6a4536972baed18e74d416fd,ChatGPT 5.2,0,closed,42
6a4536972baed18e74d416fd,Ground Truth,0,closed,42
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,10
6a4536972baed18e74d416fd,Ground Truth,1,green,10
6a4536972baed18e74d416fd,ChatGPT 5.2,0,closed,40
6a4536972baed18e74d416fd,Ground Truth,1,bronze,40
6a4536972baed18e74d416fd,ChatGPT 5.2,1,bronze,23
6a4536972baed18e74d416fd,Ground Truth,1,bronze,23
6a4536972baed18e74d416fd,ChatGPT 5.2,1,green,26
6a4536972baed18e74d416fd,Ground Truth,0,closed,26
6a45369f2baed18e74d41721,ChatGPT 5.2,0,closed,63
6a45369f2baed18e74d41721,Ground Truth,0,closed,63
6a45369f2baed18e74d41721,ChatGPT 5.2,0,closed,65
6a45369f2baed18e74d41721,Ground Truth,0,closed,65
6a45369f2baed18e74d41721,ChatGPT 5.2,0,closed,48
6a45369f2baed18e74d41721,Ground Truth,0,closed,48
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,22
6a4536bb2baed18e74d4173d,Ground Truth,1,green,22
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,70
6a4536bb2baed18e74d4173d,Ground Truth,1,bronze,70
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,36
6a4536bb2baed18e74d4173d,Ground Truth,0,closed,36
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,2
6a4536bb2baed18e74d4173d,Ground Truth,1,gold,2
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,44
6a4536bb2baed18e74d4173d,Ground Truth,1,hybrid,44
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,bronze,38
6a4536bb2baed18e74d4173d,Ground Truth,1,bronze,38
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,hybrid,20
6a4536bb2baed18e74d4173d,Ground Truth,1,green,20
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,bronze,68
6a4536bb2baed18e74d4173d,Ground Truth,1,bronze,68
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,bronze,18
6a4536bb2baed18e74d4173d,Ground Truth,0,closed,18
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,35
6a4536bb2baed18e74d4173d,Ground Truth,1,green,35
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,3
6a4536bb2baed18e74d4173d,Ground Truth,1,green,3
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,90
6a4536bb2baed18e74d4173d,Ground Truth,1,green,90
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,69
6a4536bb2baed18e74d4173d,Ground Truth,1,green,69
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,55
6a4536bb2baed18e74d4173d,Ground Truth,1,green,55
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,hybrid,82
6a4536bb2baed18e74d4173d,Ground Truth,1,green,82
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,85
6a4536bb2baed18e74d4173d,Ground Truth,1,gold,85
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,gold,25
6a4536bb2baed18e74d4173d,Ground Truth,1,green,25
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,48
6a4536bb2baed18e74d4173d,Ground Truth,0,closed,48
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,50
6a4536bb2baed18e74d4173d,Ground Truth,1,hybrid,50
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,63
6a4536bb2baed18e74d4173d,Ground Truth,1,hybrid,63
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,hybrid,52
6a4536bb2baed18e74d4173d,Ground Truth,1,hybrid,52
6a4536bb2baed18e74d4173d,ChatGPT 5.2,1,green,10
6a4536bb2baed18e74d4173d,Ground Truth,1,gold,10
6a4536bb2baed18e74d4173d,ChatGPT 5.2,0,closed,88
6a4536bb2baed18e74d4173d,Ground Truth,0,closed,88
