SourceID,Model,OA,OAS,Index
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,7
6a4536972baed18e74d416fd,Ground Truth,1,bronze,7
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,33
6a4536972baed18e74d416fd,Ground Truth,1,hybrid,33
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,9
6a4536972baed18e74d416fd,Ground Truth,1,green,9
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,4
6a4536972baed18e74d416fd,Ground Truth,1,green,4
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,28
6a4536972baed18e74d416fd,Ground Truth,1,green,28
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,21
6a4536972baed18e74d416fd,Ground Truth,0,closed,21
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,25
6a4536972baed18e74d416fd,Ground Truth,1,hybrid,25
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,24
6a4536972baed18e74d416fd,Ground Truth,1,green,24
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,2
6a4536972baed18e74d416fd,Ground Truth,0,closed,2
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,42
6a4536972baed18e74d416fd,Ground Truth,0,closed,42
6a4536972baed18e74d416fd,Claude Opus 4.6,1,green,10
6a4536972baed18e74d416fd,Ground Truth,1,green,10
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,14
6a4536972baed18e74d416fd,Ground Truth,1,gold,14
6a4536972baed18e74d416fd,Claude Opus 4.6,0,closed,40
6a4536972baed18e74d416fd,Ground Truth,1,bronze,40
6a4536972baed18e74d416fd,Claude Opus 4.6,1,bronze,23
6a4536972baed18e74d416fd,Ground Truth,1,bronze,23
6a4536972baed18e74d416fd,Claude Opus 4.6,1,hybrid,26
6a4536972baed18e74d416fd,Ground Truth,0,closed,26
6a45369f2baed18e74d41721,Claude Opus 4.6,0,closed,63
6a45369f2baed18e74d41721,Ground Truth,0,closed,63
6a45369f2baed18e74d41721,Claude Opus 4.6,0,closed,18
6a45369f2baed18e74d41721,Ground Truth,1,hybrid,18
6a45369f2baed18e74d41721,Claude Opus 4.6,1,green,50
6a45369f2baed18e74d41721,Ground Truth,0,closed,50
6a45369f2baed18e74d41721,Claude Opus 4.6,1,green,69
6a45369f2baed18e74d41721,Ground Truth,0,closed,69
6a45369f2baed18e74d41721,Claude Opus 4.6,0,closed,72
6a45369f2baed18e74d41721,Ground Truth,0,closed,72
6a45369f2baed18e74d41721,Claude Opus 4.6,1,green,49
6a45369f2baed18e74d41721,Ground Truth,0,closed,49
6a45369f2baed18e74d41721,Claude Opus 4.6,1,bronze,91
6a45369f2baed18e74d41721,Ground Truth,0,closed,91
6a45369f2baed18e74d41721,Claude Opus 4.6,0,closed,48
6a45369f2baed18e74d41721,Ground Truth,0,closed,48
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,22
6a4536bb2baed18e74d4173d,Ground Truth,1,green,22
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,70
6a4536bb2baed18e74d4173d,Ground Truth,1,bronze,70
6a4536bb2baed18e74d4173d,Claude Opus 4.6,0,closed,36
6a4536bb2baed18e74d4173d,Ground Truth,0,closed,36
6a4536bb2baed18e74d4173d,Claude Opus 4.6,0,closed,44
6a4536bb2baed18e74d4173d,Ground Truth,1,hybrid,44
6a4536bb2baed18e74d4173d,Claude Opus 4.6,0,closed,74
6a4536bb2baed18e74d4173d,Ground Truth,1,hybrid,74
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,38
6a4536bb2baed18e74d4173d,Ground Truth,1,bronze,38
6a4536bb2baed18e74d4173d,Claude Opus 4.6,1,green,20
