SourceID,Model,OA,OAS,Index
6a4536972baed18e74d416fd,Gemini 3.1 Flash Lite,1,bronze,7
6a4536972baed18e74d416fd,Ground Truth,1,bronze,7
6a4536972baed18e74d416fd,Gemini 3.1 Flash Lite,1,bronze,9
6a4536972baed18e74d416fd,Ground Truth,1,green,9
6a4536972baed18e74d416fd,Gemini 3.1 Flash Lite,1,bronze,4
6a4536972baed18e74d416fd,Ground Truth,1,green,4
6a4536972baed18e74d416fd,Gemini 3.1 Flash Lite,1,bronze,2
6a4536972baed18e74d416fd,Ground Truth,0,closed,2
6a4536972baed18e74d416fd,Gemini 3.1 Flash Lite,1,green,42
6a4536972baed18e74d416fd,Ground Truth,0,closed,42
6a4536972baed18e74d416fd,Gemini 3.1 Flash Lite,0,closed,10
6a4536972baed18e74d416fd,Ground Truth,1,green,10
6a4536972baed18e74d416fd,Gemini 3.1 Flash Lite,0,closed,23
6a4536972baed18e74d416fd,Ground Truth,1,bronze,23
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,1,green,29
6a45379f2baed18e74d41a77,Ground Truth,1,green,29
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,46
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,46
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,1,bronze,49
6a45379f2baed18e74d41a77,Ground Truth,1,gold,49
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,17
6a45379f2baed18e74d41a77,Ground Truth,0,closed,17
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,31
6a45379f2baed18e74d41a77,Ground Truth,0,closed,31
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,1,bronze,24
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,24
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,18
6a45379f2baed18e74d41a77,Ground Truth,0,closed,18
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,40
6a45379f2baed18e74d41a77,Ground Truth,1,gold,40
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,4
6a45379f2baed18e74d41a77,Ground Truth,1,green,4
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,36
6a45379f2baed18e74d41a77,Ground Truth,1,gold,36
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,55
6a45379f2baed18e74d41a77,Ground Truth,0,closed,55
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,52
6a45379f2baed18e74d41a77,Ground Truth,0,closed,52
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,1,bronze,27
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,27
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,7
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,7
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,1,gold,11
6a45379f2baed18e74d41a77,Ground Truth,0,closed,11
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,60
6a45379f2baed18e74d41a77,Ground Truth,1,bronze,60
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,41
6a45379f2baed18e74d41a77,Ground Truth,0,closed,41
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,1,green,15
6a45379f2baed18e74d41a77,Ground Truth,1,hybrid,15
6a45379f2baed18e74d41a77,Gemini 3.1 Flash Lite,0,closed,44
6a45379f2baed18e74d41a77,Ground Truth,0,closed,44
6a4538662baed18e74d41d99,Gemini 3.1 Flash Lite,1,green,11
6a4538662baed18e74d41d99,Ground Truth,1,hybrid,11
6a4538662baed18e74d41d99,Gemini 3.1 Flash Lite,1,gold,15
6a4538662baed18e74d41d99,Ground Truth,1,gold,15
